id;job_code;job_title;min_salary;max_salary
1;Kids Optimization;Global Configuration Designer;65869;68396
2;Checking Account;Chief Web Representative;2651;86719
3;invoice multi-byte;Dynamic Markets Planner;64328;12850
4;haptic parsing;Investor Markets Assistant;96119;65148
5;teal analyzing yellow;Regional Solutions Supervisor;9444;61825
6;robust withdrawal generate;Dynamic Solutions Director;81446;26069
7;Avon;International Quality Director;62894;93664
8;Handmade Cotton Bacon Specialist China;District Mobility Planner;80683;57592
9;interface Cotton Robust;Customer Tactics Facilitator;93075;56186
10;Managed Dobra application;Future Security Coordinator;90255;53432
